# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
114.0; 17.843; -3.8; -14.4; 306.5; -3.8; -12.6; 282.0; 18.7; -3.9; 353.2; 18.7; -3.7; 328.7
117.0; 18.323; -3.8; -15.5; 309.3; -3.8; -13.4; 279.2; 18.6; -7.1; 356.0; 18.6; -6.5; 325.8
120.0; 18.803; -3.8; -15.1; 311.9; -3.8; -13.0; 276.6; 18.4; -11.4; 358.6; 18.4; -10.3; 323.2
123.0; 19.284; -3.8; -12.2; 313.8; -3.8; -10.6; 274.7; 18.4; -16.9; 360.4; 18.4; -15.1; 321.4
126.0; 19.766; -39.8; -5.2; 313.6; -39.8; -4.4; 274.8; 54.8; -23.3; 360.4; 54.8; -20.8; 321.5
129.0; 20.247; -39.4; 8.0; 308.7; -39.4; 9.1; 279.2; 56.1; -28.9; 355.9; 56.1; -26.3; 326.4
132.0; 20.729; -38.3; 29.2; 293.7; -38.3; 37.0; 293.2; 59.5; -30.4; 342.0; 59.5; -29.9; 341.5
135.0; 21.213; -36.1; 58.2; 259.0; -36.1; 96.1; 325.5; 66.8; -22.4; 309.7; 66.8; -26.6; 376.2
138.0; 21.702; -32.8; 84.0; 200.3; -32.8; 207.8; 380.1; 79.3; -7.1; 255.0; 79.3; -11.6; 434.8
141.0; 22.173; -3.7; 89.7; 146.8; -3.7; 328.8; 429.4; 66.8; -0.7; 205.7; 66.8; -1.7; 488.3
144.0; 22.610; -3.7; 85.4; 111.2; -3.7; 414.7; 462.7; 76.0; 6.4; 172.5; 76.0; 18.3; 523.9
147.0; 23.021; -3.7; 76.7; 90.9; -3.7; 455.8; 482.1; 79.7; 13.3; 153.1; 79.7; 43.8; 544.3
150.0; 23.418; -3.7; 68.8; 79.3; -3.7; 474.0; 493.6; 80.2; 18.3; 141.6; 80.2; 66.4; 555.9
153.0; 23.810; -3.7; 61.6; 73.1; -3.7; 478.7; 500.5; 77.0; 22.2; 134.6; 77.0; 85.4; 562.0
156.0; 24.204; -3.7; 52.8; 71.5; -3.7; 464.2; 503.7; 70.8; 27.1; 131.4; 70.8; 107.3; 563.6
159.0; 24.597; -3.7; 38.7; 77.2; -3.7; 401.9; 504.6; 44.7; 38.7; 130.5; 44.7; 153.2; 558.0
162.0; 25.001; -3.7; 24.7; 70.4; -3.7; 315.2; 520.9; 7.5; 54.6; 114.3; 7.5; 254.0; 564.8
165.0; 25.455; -3.7; 30.0; 95.7; -3.7; 207.1; 497.9; -1.7; 69.6; 137.3; -1.7; 262.5; 539.4
168.0; 25.949; -41.6; 26.5; 181.7; -41.6; 62.8; 408.5; 49.8; 78.5; 226.7; 49.8; 154.5; 453.5
171.0; 26.433; -3.7; -35.6; 271.7; -3.7; -37.1; 314.2; 28.6; 61.5; 320.9; 28.6; 70.2; 363.5
174.0; 26.875; -3.7; -105.3; 327.8; -3.7; -66.5; 255.8; 37.7; 37.2; 379.3; 37.7; 30.9; 307.4
177.0; 27.287; -3.7; -137.5; 365.3; -3.7; -62.4; 219.3; 33.9; -5.4; 415.9; 33.9; -3.7; 269.8
180.0; 27.713; -3.7; -138.5; 406.6; -3.7; -49.5; 181.7; 19.1; -85.9; 453.4; 19.1; -44.7; 228.6
183.0; 28.176; -3.7; -89.5; 418.8; -3.7; -35.2; 170.9; 13.5; -151.8; 464.2; 13.5; -72.0; 216.3
186.0; 28.669; -3.8; 58.1; 289.7; -3.8; 64.4; 295.4; 32.0; -56.6; 339.8; 32.0; -56.9; 345.5
189.0; 29.165; -3.7; 99.0; 204.2; -3.7; 215.4; 375.0; 55.3; -25.9; 260.1; 55.3; -41.4; 431.0
192.0; 29.628; -3.7; 96.8; 154.5; -3.7; 320.6; 421.7; 67.2; -8.0; 213.5; 67.2; -17.0; 480.7
195.0; 30.027; -3.7; 82.6; 127.0; -3.7; 364.9; 449.1; 67.4; 8.0; 186.1; 67.4; 20.5; 508.1
198.0; 30.411; -3.7; 61.5; 119.7; -3.7; 338.9; 460.3; 52.3; 26.4; 174.9; 52.3; 73.1; 515.5
201.0; 30.848; -3.7; 38.2; 98.5; -3.7; 285.4; 490.1; 18.0; 53.0; 145.0; 18.0; 185.7; 536.7
204.0; 31.329; -3.7; 33.7; 105.0; -3.7; 184.9; 487.5; 2.4; 71.8; 147.6; 2.4; 249.2; 530.1
207.0; 31.817; -3.7; -54.7; 282.6; -3.7; -58.7; 304.6; 23.6; 69.7; 330.6; 23.6; 74.4; 352.6
210.0; 32.282; -3.7; -211.0; 358.7; -3.7; -118.2; 221.0; 53.2; 77.3; 414.2; 53.2; 53.0; 276.4
213.0; 32.714; -3.7; -339.5; 414.1; -3.7; -118.1; 161.1; 70.7; 57.4; 474.0; 70.7; 28.0; 221.0
216.0; 33.127; -3.7; -382.0; 445.9; -3.7; -96.9; 136.2; 36.6; 11.9; 497.0; 36.6; 4.8; 187.2
219.0; 33.545; -3.7; -410.4; 461.1; -3.7; -80.5; 112.0; 70.9; -25.5; 520.9; 70.9; -9.0; 171.8
222.0; 33.980; -3.7; -449.0; 479.7; -3.7; -68.3; 83.8; 117.1; -59.9; 551.3; 117.1; -18.2; 155.5
225.0; 34.431; -3.7; -414.5; 490.3; -3.7; -53.5; 87.6; 60.5; -102.3; 547.6; 60.5; -29.2; 144.9
228.0; 34.892; -3.7; -363.2; 497.4; -3.7; -39.7; 86.6; 36.2; -156.3; 548.6; 36.2; -42.1; 137.7
231.0; 35.353; -3.7; -309.9; 497.0; -3.7; -36.4; 91.2; 19.6; -188.2; 544.0; 19.6; -50.7; 138.2
234.0; 35.812; -40.8; -258.5; 475.2; -40.8; -44.6; 114.2; 51.8; -173.7; 521.0; 51.8; -56.0; 159.9
237.0; 36.269; -40.7; -194.3; 440.7; -40.7; -50.0; 148.6; 52.2; -130.0; 486.5; 52.2; -54.1; 194.5
240.0; 36.726; -40.2; -146.1; 408.2; -40.2; -51.4; 180.6; 53.7; -89.6; 454.5; 53.7; -46.2; 227.0
243.0; 37.185; -39.6; -114.6; 380.7; -39.6; -50.3; 207.5; 55.4; -55.8; 427.7; 55.4; -34.1; 254.4
246.0; 37.643; -39.0; -101.2; 363.3; -39.0; -49.8; 224.3; 57.2; -32.9; 410.8; 57.2; -22.3; 271.9
249.0; 38.096; -38.4; -103.2; 357.6; -38.4; -51.8; 229.4; 59.0; -21.4; 405.7; 59.0; -15.1; 277.6
252.0; 38.541; -3.7; -108.7; 361.0; -3.7; -51.2; 225.6; 26.0; -19.5; 409.5; 26.0; -13.4; 274.2
255.0; 38.978; -3.7; -121.3; 370.9; -3.7; -52.9; 215.6; 26.1; -28.5; 419.5; 26.1; -18.5; 264.2
258.0; 39.410; -3.7; -126.1; 379.7; -3.7; -52.0; 207.3; 24.2; -41.5; 427.8; 24.2; -25.6; 255.4
261.0; 39.846; -3.7; -122.2; 381.6; -3.7; -50.5; 205.9; 22.5; -47.8; 429.3; 22.5; -29.1; 253.6
264.0; 40.292; -3.7; -114.6; 381.1; -3.7; -48.8; 206.7; 20.9; -52.1; 428.4; 20.9; -31.8; 254.0
267.0; 40.745; -3.7; -103.4; 379.2; -3.7; -46.5; 209.1; 19.2; -56.1; 426.0; 19.2; -34.6; 256.0
270.0; 41.205; -3.7; -88.2; 375.3; -3.7; -43.0; 213.3; 17.7; -59.8; 421.8; 17.7; -37.7; 259.8
273.0; 41.672; -3.8; -67.6; 364.6; -3.8; -37.5; 224.2; 17.2; -55.6; 411.0; 17.2; -37.2; 270.5
276.0; 42.145; -3.8; -46.7; 351.6; -3.8; -29.9; 237.2; 17.4; -49.0; 398.0; 17.4; -35.3; 283.6
279.0; 42.623; -4.0; -26.4; 337.3; -4.0; -19.6; 251.4; 18.2; -41.9; 383.8; 18.2; -32.7; 297.9
282.0; 43.105; -39.6; -6.5; 322.0; -39.6; -5.1; 266.3; 55.1; -35.2; 368.8; 55.1; -29.9; 313.2
285.0; 43.588; -39.2; 13.3; 305.0; -39.2; 15.0; 282.7; 56.7; -28.8; 352.4; 56.7; -26.8; 330.1
288.0; 44.070; -38.3; 32.7; 284.7; -38.3; 43.3; 302.2; 59.3; -21.8; 332.9; 59.3; -22.6; 350.5
291.0; 44.543; -37.1; 50.7; 259.2; -37.1; 82.8; 326.5; 62.8; -13.1; 308.7; 62.8; -15.5; 375.9
294.0; 45.003; -3.7; 60.1; 231.1; -3.7; 125.5; 353.3; 34.7; -4.3; 281.9; 34.7; -5.9; 404.1
297.0; 45.443; -3.7; 66.5; 202.4; -3.7; 174.3; 380.9; 38.9; 6.1; 254.3; 38.9; 10.0; 432.7
300.0; 45.865; -3.7; 65.9; 181.0; -3.7; 208.1; 402.1; 39.7; 15.7; 233.1; 39.7; 29.3; 454.1
303.0; 46.272; -3.7; 60.5; 167.3; -3.7; 218.9; 416.8; 35.4; 26.3; 218.3; 35.4; 53.7; 467.8
306.0; 46.684; -3.7; 53.7; 159.7; -3.7; 208.8; 426.6; 27.3; 37.8; 208.6; 27.3; 82.3; 475.5
309.0; 47.126; -38.8; 55.5; 162.1; -38.8; 198.6; 425.3; 57.9; 42.9; 209.9; 57.9; 92.7; 473.1
312.0; 47.590; -39.0; 55.7; 176.1; -39.0; 173.0; 411.5; 57.3; 40.1; 223.6; 57.3; 79.2; 459.1
315.0; 48.059; -38.6; 56.3; 193.0; -38.6; 152.2; 394.2; 58.4; 32.4; 240.9; 58.4; 57.4; 442.1
318.0; 48.524; -37.8; 58.5; 205.7; -37.8; 146.1; 380.6; 61.2; 21.6; 254.6; 61.2; 35.3; 429.5
321.0; 48.980; -36.3; 64.4; 205.3; -36.3; 164.3; 379.5; 65.9; 13.0; 255.7; 65.9; 21.0; 429.9
324.0; 49.426; -34.5; 72.6; 188.6; -34.5; 209.6; 393.9; 72.6; 10.3; 241.2; 72.6; 18.2; 446.5
327.0; 49.863; -3.7; 72.3; 164.8; -3.7; 257.1; 415.8; 49.5; 11.8; 219.4; 49.5; 24.1; 470.3
330.0; 50.295; -3.7; 69.6; 143.2; -3.7; 300.0; 436.6; 52.7; 17.9; 198.5; 52.7; 41.8; 492.0
333.0; 50.717; -3.7; 62.4; 130.9; -3.7; 313.2; 449.8; 49.1; 25.6; 185.3; 49.1; 65.5; 504.3
336.0; 51.124; -3.7; 52.7; 125.6; -3.7; 296.1; 458.0; 37.8; 36.2; 177.2; 37.8; 98.2; 509.6
339.0; 51.529; -3.7; 45.8; 125.6; -3.7; 261.3; 461.4; 24.5; 46.7; 173.8; 24.5; 129.7; 509.6
342.0; 51.954; -3.7; 43.0; 128.4; -3.7; 219.6; 461.2; 14.2; 56.0; 174.0; 14.2; 155.7; 506.8
345.0; 52.404; -3.7; 42.7; 139.9; -3.7; 167.1; 450.8; 9.9; 63.9; 184.4; 9.9; 165.8; 495.3
348.0; 52.874; -3.7; 37.0; 176.5; -3.7; 91.6; 413.4; 13.1; 67.5; 221.8; 13.1; 137.0; 458.7
